type,name,number,colorCode,slug,hex
CIPIGMENT,Cobalt Titanate Green,50,G,PG50,#65944d
CIPIGMENT,Persian Orange,17,O,PO17,#d97a25
CIPIGMENT,Cadmium Orange,20,O,PO20,#d97a25
CIPIGMENT,Cadmium-Barium Orange,20:1,O,PO20:1,#d97a25
CIPIGMENT,Pyrazolone Orange,34,O,PO34,#d97a25
CIPIGMENT,Azo Orange Deep,36,O,PO36,#d97a25
CIPIGMENT,Perinone Orange,43,O,PO43,#d97a25
CIPIGMENT,Quinacridone Burnt Orange,48,O,PO48,#d97a25
CIPIGMENT,Nickel Azo Orange,59,O,PO59,#d97a25
CIPIGMENT,Azo Orange,62,O,PO62,#d97a25
CIPIGMENT,Azo Orange,64,O,PO64,#d97a25
CIPIGMENT,Nickel Red,65,O,PO65,#d97a25
CIPIGMENT,Monoazo Orange,67,O,PO67,#d97a25
CIPIGMENT,Transparent Pyrrol Orange,71,O,PO71,#d97a25
CIPIGMENT,Pyrrol Orange,73,O,PO73,#d97a25
CIPIGMENT,Transparent Orange,107,O,PO107,#d97a25
CINATURAL,Rose Madder,9,R,NR9,#be362a
CIPIGMENT,Permanent Bordeaux,12,R,PR12,#be362a
CIPIGMENT,Rhodamine,81,R,PR81,#be362a
CIPIGMENT,Alizarin Crimson,83,R,PR83,#be362a
CIPIGMENT,Thioindigo Violet,88,R,PR88,#be362a
CIPIGMENT,Synthetic Red Iron Oxide,101,R,PR101,#be362a
CIPIGMENT,Natural Red Iron Oxide,102,R,PR102,#be362a
CIPIGMENT,Cadmium Red,108,R,PR108,#be362a
CIPIGMENT,Naphthol Red,112,R,PR112,#be362a
CIPIGMENT,Quinacridone Magenta,122,R,PR122,#be362a
CIPIGMENT,Azo Red,144,R,PR144,#be362a
CIPIGMENT,Perylene Red,149,R,PR149,#be362a
CIPIGMENT,Scarlet Red,166,R,PR166,#be362a
CIPIGMENT,Permanent Scarlet,168,R,PR168,#be362a
CIPIGMENT,Naphthol Red,170,R,PR170,#be362a
CIPIGMENT,Benzimidazolone Bordeaux,171,R,PR171,#be362a
CIPIGMENT,Benzimida Scarlet,175,R,PR175,#be362a
CIPIGMENT,Benzimida Carmine,176,R,PR176,#be362a
CIPIGMENT,Anthraquinone Red,177,R,PR177,#be362a
CIPIGMENT,Perylene Red,178,R,PR178,#be362a
CIPIGMENT,Perylene Maroon,179,R,PR179,#be362a
CIPIGMENT,Naphthol Red,187,R,PR187,#be362a
CIPIGMENT,Vermillion,188,R,PR188,#be362a
CIPIGMENT,Quinacridone Crimson,202,R,PR202,#be362a
CIPIGMENT,Quinacridone Burnt Scarlet,206,R,PR206,#be362a
CIPIGMENT,Quinacridone Red,207,R,PR207,#be362a
CIPIGMENT,Quinacridone Red,209,R,PR209,#be362a
CIPIGMENT,Fastogen Super Red,214,R,PR214,#be362a
CIPIGMENT,Potter's Pink,233,R,PR233,#be362a
CIPIGMENT,Disazo Condensation Scarlet,242,R,PR242,#be362a
CIPIGMENT,Vermillion Hue,251,R,PR251,#be362a
CIPIGMENT,Pyrrol Red,254,R,PR254,#be362a
CIPIGMENT,Pyrrol Scarlet,255,R,PR255,#be362a
CIPIGMENT,Ultramarine Pink,258,R,PR258,#be362a
CIPIGMENT,Ultramarine Pink,259,R,PR259,#be362a
CIPIGMENT,Permanent Alizarin Crimson,264,R,PR264,#be362a
CIPIGMENT,Mayan Red,287,R,PR287,#be362a
CIPIGMENT,Purple,2,V,PV2,#7067a1
CIPIGMENT,Methyl Violet,3,V,PV3,#7067a1
CIPIGMENT,Cobalt Violet,14,V,PV14,#7067a1
CIPIGMENT,Ultramarine Violet ,15,V,PV15,#7067a1
CIPIGMENT,Manganese Violet ,16,V,PV16,#7067a1
CIPIGMENT,Quinacridone Violet,19,V,PV19,#7067a1
CIPIGMENT,Dioxazine Violet,23,V,PV23,#7067a1
CIPIGMENT,Perylene Violet,29,V,PV29,#7067a1
CIPIGMENT,Bordeaux,32,V,PV32,#7067a1
CIPIGMENT,Dioxazine Violet,37,V,PV37,#7067a1
CIPIGMENT,Magenta,42,V,PV42,#7067a1
CIPIGMENT,Cobalt Lithium Violet,47,V,PV47,#7067a1
CIPIGMENT,Cobalt Violet,49,V,PV49,#7067a1
CIPIGMENT,Quinacridone Purple,55,V,PV55,#7067a1
CIPIGMENT,Mayan Violet,58,V,PV58,#7067a1
CIPIGMENT,Chinese White,4,W,PW4,#e5ded6
CIPIGMENT,Titanium White,6,W,PW6,#e5ded6
CIPIGMENT,Mica,20,W,PW20,#e5ded6
CIPIGMENT,Hansa Yellow,1,Y,PY1,#ecd721
CIPIGMENT,Hansa Yellow Lemon,3,Y,PY3,#ecd721
CIPIGMENT,Cadmium Yellow,37,Y,PY37,#ecd721
CIPIGMENT,Aureolin,40,Y,PY40,#ecd721
CIPIGMENT,Yellow Iron Oxide,42,Y,PY42,#ecd721
CIPIGMENT,Natural Yellow Iron Oxide,43,Y,PY43,#ecd721
CIPIGMENT,Nickel Antimony Titanium Yellow Rutile,53,Y,PY53,#ecd721
CIPIGMENT,Lemon Yellow,61,Y,PY61,#ecd721
CIPIGMENT,Hansa Yellow Deep,65,Y,PY65,#ecd721
CIPIGMENT,Hansa Yellow Medium,74,Y,PY74,#ecd721
CIPIGMENT,Diarylide Yellow,83,Y,PY83,#ecd721
CIPIGMENT,Disazo Yellow,93,Y,PY93,#ecd721
CIPIGMENT,Hansa Yellow Medium,97,Y,PY97,#ecd721
CIPIGMENT,Anthrapyrimidine Yellow,108,Y,PY108,#ecd721
CIPIGMENT,Isoindoline Yellow Light,109,Y,PY109,#ecd721
CIPIGMENT,Isoindoline Yellow,110,Y,PY110,#ecd721
CIPIGMENT,Spinel Brown,119,Y,PY119,#ecd721
CIPIGMENT,PV Fast Yellow,120,Y,PY120,#ecd721
CIPIGMENT,Green Gold,129,Y,PY129,#ecd721
CIPIGMENT,Quinaphthalone Yellow,138,Y,PY138,#ecd721
CIPIGMENT,Isoindoline Yellow,139,Y,PY139,#ecd721
CIPIGMENT,Nickel Azo Yellow,150,Y,PY150,#ecd721
CIPIGMENT,Azo Yellow,151,Y,PY151,#ecd721
CIPIGMENT,Nickel Dioxine Yellow,153,Y,PY153,#ecd721
CIPIGMENT,Azo Yellow,154,Y,PY154,#ecd721
CIPIGMENT,Azo Yellow,155,Y,PY155,#ecd721
CIPIGMENT,Zirconium Yellow,159,Y,PY159,#ecd721
CIPIGMENT,Manganese Antimony Titanium Buff Rutile,164,Y,PY164,#ecd721
CIPIGMENT,Azo Yellow,168,Y,PY168,#ecd721
CIPIGMENT,Azo Yellow Lemon,175,Y,PY175,#ecd721
CIPIGMENT,Benzimidazolone Yellow (Red Shade),181,Y,PY181,#ecd721
CIPIGMENT,Paliotol Yellow K227,183,Y,PY183,#ecd721
CIPIGMENT,Bismuth Yellow,184,Y,PY184,#ecd721
CIPIGMENT,Turner's Yellow,216,Y,PY216,#ecd721
CIPIGMENT,Mayan Yellow,223,Y,PY223,#ecd721
CIPIGMENT,NTP Yellow,227,Y,PY227,#ecd721
