slug,colorCode,type,number,name,ciConstitutionNumber,alternateNames,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
cosmoray-orange,O,ETC,,Cosmoray Orange,,"Pyrrole Orange ;
 Experimental Orange 107;
 Experimental Orange RL 107
 IRGAZIN® DPP Cosmoray Orange;
 Irgazin® Cosmoray® Orange L 2950; 
 Pigment Orange 107*;
 Pigment Orange 767B; 
 PO108 (experimental)*","Organic;
 high-performance orange
 diketo-pyrrolo-pyrrole (DPP) pigment,
 Substituted pyrrol 
 (Ref: Ciba® IRGAZIN® DPP Cosmoray™ Orange - PDF); 
 Irgazin is a range of high performance organic pigments from selected chemical classes with a broad range of colors, highly indicated for applications where resistance to extreme conditions and/or coloristical, tinctorial properties and high transparency are required.(Ref from BASF site)
 (Ref: Australian NICNAS, National Industrial Chemicals Notification and Assessment Scheme - PDF report); (Ref: BASF press release);",Bright reddish orange,T,I,A,"*Not an actual Color index number; a Colour Index Number/Name has not been allocated for this pigment.
 Press Release PDF
 Technical Data PDF"
kibeni-orange,O,ETC,,Kibeni Orange,,"IWA-Enogu® [KP.p];
 Kibeni Orange;
 Vanadium-Chromite Spinel","Vanadium-Chromite Spinel; 
 Cadmium glass powder",Mid Orange,O,I,,
lead-tin-orange,O,ETC,,Lead-tin Orange,,"Arancione di piombo-stagno;
 Blei-Zinn Orange;
 Lead-tin Orange [NP.o.p];
 Lead-Tin Yellow;
 Orange de plomb étain;","Lead-Tin Oxide; 
 Lead Stannate;
 CAS 12036-31-6",Bright Yellowish Orange,O,I,C,"Siccative in oil paint.
 *May darken by atmospheric hydrogen sulfide"
mayacrom-orange-or2800,O,ETC,,MayaCrom® Orange OR2800,,"MayaCrom® Orange OR2800*;
 Mayan Orange [DS.wd**]","Patented Organic-Inorganic hybred based on the chemistry of Mayan Blue with a unique nano crystal lattice. Tech data sheet for reference, also Reference the Patent application.
 Article about Hybred Pigments and Mayan Blue in New Journal of Chemistry 2005, 29, p.57–58 (Article Reference PDF);",Bright yellow orange,S/T,I,A,"* Other pigments of this type have color index names granted (ie, PR287), this color may receive one at a later date, but not yet awarded a CI name. Currently recommended for plastics but has good potential value as artist pigment.
 ""evolved from work done at the University of Texas-El Paso to reconstruct the unique vibrant blue color developed by the Maya civilization more than 1000 years ago, using an inorganic and organic component to produce a highly stable hybrid pigment.""
 TOR Minerals International Press release, (Ref Mayan Pigments, Inc.); 
 ** more info on the Dan Smith ""Mayan"" PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site."
mineral-orange,O,ETC,,Mineral Orange,,"Mennige;
 Mineral Orange;
 Mineral Red;
 Minium;
 Orange lead;
 Pigment Red 105
 Red Lead;
 Saturn Red;
 Saturnrot","Lead tetraoxide;
 CAS 1314-41-6",Red to Mid Orange,O,II,C,*May be affected by hydrogen sulfide. Also It may react with pigments that contain free sulfur; More permanent in oil (Ref)
realgar,O,ETC,,Realgar,,"Arsenic Orange;
 Realgar [GEN | NP.p];
 Red orpiment","Arsenic sulfide, Natural mineral Realgar (Ref);
 CAS 1303-33-9",Orange; †Hue Shift yellowish,O,III,D,"Said to be incompatible with lead or copper pigments. (Ref Natural Pigments);
 *light exposure may convert it to orpiment and arsenious oxide (Ref NP); See Pararealgar under Yellow."
cinnabar,R,ETC,,Cinnabar,,"Chinese Cinnabar;
 Chinese red;
 Cinnabar [GEN | KP.p | NP.p];
 Cinnabar (Coarse) [NP.p];
 Cinnabar dark [KP.p];
 Cinnabar SHINSYA [KP.p];
 Cinnabarite;
 Cinnibar;
 Cold Cinnabar (Coarse) [NP.p];
 Llimpi Merkurblende;
 Mercurblende;
 Minium;
 Natural Cinnabar [KP.p];
 Natural Cinnabar Monte Amiata [KP.p]; 
 Nium;
 Pigment Red 106; 
 Quecksilbersulfidrot;
 Sulfur Red Mercury;
 Vermeil Zinnober;
 Vermillion;
 Vermilion [NP.ad.o,p];
 Warm Cinnabar [NP.p]","Natural Mercuric Sulfide may have some impurities;
 Making pigments: Vermillion at webexhibits.org;",Bright Scarlet to to red brown,O,I,C,"* light fastness seems to be affected by sulfides, hydrothermal silica, preparation and impurities. (Mineral Reference);
 According to the Pigment Compendium, 2008 Cinnabar based pigments only darken when they contain traces of chlorine or exposed to halogens. Also ""blackening and fading in vermilion are always due to adulteration ‘by mixture with lake, carmine or by red or orange lead’.""
 (Ref Pigment Compendium p.383);
 (Picture at mindat.org); 
 Natural mineral said to be more stable than synthetic vermilion (Natural Pigments Ref)."
cobalt-red,R,ETC,,Cobalt Red,,"Cobalt Pink;
 Cobalt Red;
 Kobaltrot;
 Rose De Cobalt","Cobalt Magnesium Oxide;
 Magnesium cobalt oxide;
 ""This little-used pigment should consist of the oxides of magnesium and cobalt. It is prepared at a high temperature and is quite permanent."" (Ref The Chemistry Of Paints And Painting"", Church, 1915);",-,X,I,B,"‘There are obtainable from cobalt by different processes rose and red colours of more or less beauty and intensity, but all vastly inferior to those of madder [q.v.], in whose absence alone they could gain a place on the palette. They are generally characterized by a fatal chalkiness, and poorness of hue. More expensive than the madder colours, and without their purity, depth, or transparency cobalt reds have often been offered as pigments, and as often declined.’ Salter (1869) (Ref Pigment Compendium, 2008, p.122);"
egyptian-red-gold,R,ETC,,Egyptian Red Gold,,"Egyptian Red Gold;
 Gold-silver Sulfide;
 Red Gold",Gold-silver Sulfide (AgAuS);,Deep bluish red,X,X,,"Reportedly found on a number of Egyptian artifacts. (Ref Pigment Compendium, 2008, p.177);
 Egyptian Red Gold may be a corrosion product article at The Metropolitan Museum of Art's website (Ref)"
fuchsite-red,R,ETC,,Fuchsite (Red),,"Red Fuchsite Genuine* [DS.w];
 Muscovite",Red Fuchsite,Dull red,T,I,A,* more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site.
garnet,R,ETC,,Garnet,,"Almandine;
 American Ruby**;
 Bohemian Ruby**;
 Carbuncle;
 Garnet Genuine*** [DS.w];
 Garnet Powder Red [KP.p];
 Garnet Sakura-Nezumi [KP.p];
 Garnet Sand Red;
 Pyrope; 
 Red Garnet;
 Rocky Mountain Ruby**","Garnet mineral;
 CAS 1302-62-1",Light to deep blueish pink*,T,I,A,"Rhodonite (see below) is a variety of Garnet;
 * Garnets exist in all colors except blue;
 ** Not a real ruby;
 (Pyrope Ref);
 (Almandine Ref);
 *** more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site."
granite,R,ETC,,Granite,,"Granite;
 Granite, Brown [KP.p];
 Red Granite;",Quartz and mixed oxides (Ref),light brown,X,I,A,(Ref)
piemontite,R,ETC,,Piemontite,,"Piedmontite;
 Piemonite;
 Piemontite;
 Piemontite Genuine* [DS.w]",Aluminosilicates of Manganese (Ref),Deep Scarlet,S/T,I,A,* more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site.
pipestone,R,ETC,,Pipestone,,"Argillite;
 Catlinite;
 Minnesota Pipestone [DS.o.w];
 Natural Pipestone;
 Pink Pipestone;
 Pink Pipestone (Catlinite) [NP.p];
 Pipestone;
 Sacred Red Stone",Pink clay stone consisting of Iron Oxide and Clay,Light Red or Pink,S/O,I,A,Was used by Native Americans to make sacred pipes.(Ref)
pozzuolana-red-earth,R,ETC,,Pozzuolana Red Earth,,"Pozzuolana Red Earth [KP.p];
 Terra Pozzuolana","Highly hydraulic volcanic pumice from Umbria, Italy",light bluish pink,X,I,A,"* Not rated by ASTM, My rating assumes this will have the same high light fastness of other earth reds. Would advise making your own tests."
quinacridone-pyrrolidone-pr,R,ETC,,Quinacridone pyrrolidone PR,,"Blood Red [OH.a];
 Quinacridone pyrrolidone PR;
 Quinacridone Red-Orange [LQ.a]; 
 Permanent Alizarin Crimson [HO | WN.wo];
 Permanent Carmine [WN.o.w.wp.];
 Madder (hue);
 Madder Red Dark (hue) [SCH,wd]",Quinacridone and pyrrolidone co-precipitated,"Deep dark bluish red
 †Dulls, Fades",T,II,A,"* Rated IV (poor) in watercolors by Handprint, more info on PR 9 when used in watercolors @ handprint.com"
realgar-2,R,ETC,,Realgar,,"Arsenic Rouge;
 Burnt Orpiment;
 Eolite;
 Oropimente Quemado;
 Realgar [GEN | NP.p];
 Realgarite;
 Red Arsenic;
 Red Orpiment;
 Rahj al ghar;
 Rejalgar;
 Risagallo;
 Risigallum;
 Ruby Sulfur;
 Ruby Sulphur;
 Sandaracha","Natural mineral or synthetic 
 Arsenic Sulfide; (Ref Boston Fine Arts)
 Making pigments: Realgar at webexhibits.org;","Bright Orange Red
 †hue shift towards yellow",O,III,D,"Said to be incompatible with lead or copper pigments (Ref Natural Pigments);
 *exposure to sunlight may convert some pigment into Pararealgar, a yellow pigment (Ref mindat.org)"
red-coral,R,ETC,,Red Coral,,"Corallium Japonicum;
 Coral Pink [KP.p];
 Dragon’s Blood**;
 Japan coral;
 Koikuchi-Sangomatu [KP.p]; 
 Precious coral;
 Red Coral [KP.p];
 Sango Matsu;
 Koikuti-Sango-Matsu","Mostly calcium carbonate. Composed of skeletons from colonies of soft-bodied marine animals of the class Cnidaria Anthozoa.;
 ""The warm pink tones associated with corals used for pigments are derived from the slow growing, red precious corals, Corallium japonicum and C. secundum"" (Ref Pigment Compendium, 2008, p.137);",Light pink,X,X,A,"Red Coral (precious coral) is the most valuable; and makes a delicate pink pigment. Used mostly in Japan.
 ** (Ref) Raman spectroscopic analysis of dragon’s blood resins, Edwards, Oliveira, Prendergast, 2003
 *** depends on binder, probably too transparent in oil to be useful."
red-jasper,R,ETC,,Red Jasper,,"Brecciated Jasper;
 Brown Egyptian Jasper;
 Radiolarian Rock;
 Red African Jasper;
 Red Jasper [KP.p];","Amorphous quartz, colored red by iron (III) (Pigment Ref); 
 Impure Silica The Red coming mostly from Iron Oxides (Mineral Ref mindat.org ); (wikipedia Ref)",Deep red,T,I,A,"(Ref: Taylor, Jennifer L.; Development of an infrared spectral library of pigments used in ancient art c1994)"
red-powdered-colored-glass,R,ETC,,Red Powdered Colored Glass,,"Benishinsya Red [KP.p];
 Iwa-enogu;
 Iwaenogu;
 IWA-Enogu® [KP.p];
 Iwaaka Carnation Red [KP.p];
 Iwabeni Scarlet [KP.p];
 Iwahi Red [KP.p];
 Iwamomo, pink [KP.p]; 
 Iwashikou Crimson [KP.p];
 Kibeni Orange [KP.p];
 Shinsia, blackberry [KP.p]",Synthetic Iwa-enogu made of ground glass; Sodium aluminium silicate glass colored with metal oxides,Orange to deep red,X,I,A,
red-porphyry,R,ETC,,Red Porphyry,,"Augit Porphyry Crimson Red [KA.p];
 Augit Porphyry Light Violet [KA.p];
 Augite Porphyry;
 Porfido Rosso;
 Porfido Rosso Antico;
 Red Porphyry","""The English form of the Latin word porphyrites, used by the Romans to designate a certain rock having a dark-crimson ground through which are scattered small crystals of feldspar. In Pliny's time this rock, quarried in Egypt, was used extensively for architectural and ornamental purposes, and especially for the base or lower part of busts To the Italians it became known as porfido rosso anlico. Other rocks having a similar structure, commonly called porphyritic, were used in Italy, and designated, in accordance with the predominating color, as porfido nero, porfido verde, etc. (Reference from The Century Dictionary and Cyclopedia; Whitney, Smith, 191. pg.4628);",Deep red to violet also in green,X,I,A,"porphyrization: The process of grinding a substance with a muller on a slab of porphyry or other hard stone. It is much used in the preparation of colors. (Reference from The Century Dictionary and Cyclopedia; Whitney, Smith, c1911. pg.4628);"
rhodonite,R,ETC,,Rhodonite,,"Fowlerite;
 Rhodonite;
 Rhodonite Genuine* [DS.o.w]",Mineral Rhodonite; Crystalline manganese inosilicate,Brilliant rose pink to brownish grey,T,I,A,"Semi precious stone sometimes used as a jewel;
 (Ref mindat.org and Pic);
 (Lots of Pics) 
 Rhodonite is the official gem of Commonwealth of Massachusetts;
 * more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site;"
sedona,R,ETC,,Sedona,,"Red Ochre;
 Sedona Genuine [DS.o.w]",Natural Red Ochre,Violet red brown,O,I,A,* more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site
amethyst,V,ETC,,Amethyst,,"Amethyst;
 Amethyst Genuine* [DS.w]","Quartz crystal, purple color due to iron impurities (Ref mindat). (Pics);
 Amethyst (Ref at Boston Fine Arts CAMEO);",pinkish purple,T,I,,"(Ref) Pigment Compendium By Nicholas Eastaugh, Valentine Walsh, Tracey Chaplin, Ruth Siddal;
  * more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site."
fluorescent-blue-violet,V,ETC,,Fluorescent Blue Violet,,Blue Violet [HO.ag.g];,Fluorescent Pigment,Fluorescent Blue violet,X,III,,
fluorescent-magenta,V,ETC,,Fluorescent Magenta,,"Magenta [HO.g];
 Violet [HO.g];",Fluorescent Pigment,Fluorescent Magenta,X,III,,
cobalt-arsenate-77350,V,ETC,,Cobalt Arsenate,77350,"Arsenate of Cobalt;
 Cobaltous Arsenate;
 Cobalt Arsenate [HO.o]; 
 Cobalt Arsenic Oxide;
 Cobalt Bloom*;
 Cobalt Crust*;
 Cobaltous Arsenate;
 Cobalt Violet;
 Cobalt Violet Light [HOd];
 Cobaltaustinite;
 Cobaltite;
 Erythrite*;
 Red Cobalt Ochre*;
 Roselite;
 Tricobalt diarsenate;
 Vivianite Arsenate of Cobalt;
 Zaffre**","Cobalt (II) Arsenate; 
 Anhydrous cobalt arsenate;
 Cobalt Arsenic Oxide (Pigment Compendium, Ref);
 Cobaltous arsenate occurs in nature as cobalt bloom or erythrite. see Cobalt Violet , Light @ CAMEO art materials database.
 * Natural Mineral Erythrite (Mineral Ref), (Mineral Ref);
 Roselite (Mineral Ref); 
 ** Zaffre is an early alchemy substance of impure cobalt arsenate;
 Co3(AsO4)2
 CAS 24719-19-5","Pale Reddish to medium purple;
 non-staining with weak tinting strength",T,I,D,"""Synthetically produced in 1880, it became an important permanent, violet pigment. Cobaltous arsenate is now rarely used because of its toxicity."" see Cobalt Violet , Light @ CAMEO art materials database.
 ** it is absolutely permanent and transparent but has little tinting power. 
 It has some use as an artists' oil and water color pigment"" (Ref Color index 3rd Ed., V.4, Inorganic colorants CI 77350)
 *** Extremely Poisonous due to it's arsenic component. 
 Avoid dust and spray, always wear a NIOSH certified dust mask when working with the dry powder, do not spray under any circumstances.
 Do Not ingest.
 Avoid skin contact.
 Keep away from children & pets.
 All paints containing cobalt require a PROP 65 warning label in CA."
copper-violet-77432,V,ETC,,Copper Violet,77432,"Copper Violet;
 Guyard's Violet","Cupric potassium ferrocyanide, Prepared by heating the precipitate of copper ammonium sulfate and potassium ferrocyanide at 170°C (Ref The Manufacture of Mineral and Lake Pigments (1901) By Josef Bersch)",Blue Violet,O,X,B,"""a violet pigment having a great covering power"" (Ref Color index 3rd Ed., V.4, Inorganic colourants CI 77432)"
violet-hematite,V,ETC,,Violet Hematite,,"Blood Stone;
 Blue Ridge Violet Hematite [NP.p]; 
 Bruno Inglese;
 Caput Mortem;
 Caput Mortum;
 Caput Mortuum; 
 Colcothar;
 Colore Morello;
 Corpum Mortum;
 Côte d'Azur Violet [DS.w];
 Hematite;
 Mummy Violet [NP.p];
 Pigment Red 102; 
 Vetriolo Romano Bruciato;
 Vetriolo Cotto;
 Violet Hematite [DS.w | NP.p];",Violet Hematite (Ref); Natural Iron Oxide,Light violet to deep dark violet,S/O,I,A,
folium,V,ETC,,Folium,,"Biseth of Folium;
 English Woad;
 Folium;
 Trapilo Blue;
 Trapito Blue;
 Turnsole;
 Turnsole Violet;
 Heliotrope",Lake extract from the fruit of the Turnsole or Heliotropum Plant,Reddish to Bluish Violets,T,IV,A,Can change color due to PH similar to litmus; Has been used in manuscript illumination
han-purple,V,ETC,,Han Purple,,"China Blue;
 Chinese Purple;
 Han Blue;
 Han Purple [KP.p];",Barium copper silicate;,Vivid purple,T,I,A,Being studied by physicists for it's Quantum behavior. (Ref)
manganous-phosphate-77745,V,ETC,,Manganous Phosphate,77745,Manganous Phosphate,Manganous phosphate,-,X,X,,
purple-sugilite,V,ETC,,Purple Sugilite,,"Royal Azel;
 Royal Lavulite;
 Royal Purple Sugilite; 
 Purple Turquoise;
 Luvulite;
 Gem Sugilite;
 Royal Lazelle;
 Sugilite Genuine* [DS.w];",Semi-precious gem: Potassium Sodium Lithium Iron Manganese Aluminum Silicate.; (Ref),Deep reddish purple**,X,X,A,"Little info of it's use as a pigment is available. Can be attained from some sources for use in cosmetics;
 *more info on the Dan Smith PrimaTek™ artist paints and other mineral pigments use for art at the watercolor Handprint.com site;
 ** seems to lighten the finer it is ground."
purpurite,V,ETC,,Purpurite,,"Iron Manganese Phosphate;
 Pigment Violet 16;
 Purpurite [KP.p];
 Purpurite Genuine* [DS.o.w]","Mostly Manganese (III) Phosphate may have impurities of iron; Natural form of Pigment Violet 16 probably without as much processing (Ref), (Ref), (Ref)",Pink to deep reddish violet,S/O,I,B,"Rare mineral (Ref);
 * more info on the Dan Smith PrimaTek™ artist paints and other mineral pigments use for art at the watercolor Handprint.com site"
